Y,LNTT,DTL,Size,ATR,ROA,G_ASSET,Price,TL,DLTT,EBITDA,Inven,Cash,che
1.00,-10950.00,-18.09,11.35,0.45,-0.09,62212.00,0.00,141268.00,34214.00,0.00,4314.00,6044.00,0.00
0.00,50858.00,2.02,10.24,0.13,0.01,2398886.00,10.24,2102320.00,1042.00,1.48,1520468.00,11308.00,4264.00
0.00,1880.00,0.67,8.50,0.01,0.00,1694148.00,19.12,846180.00,200048.00,2.18,2318876.00,24962.00,0.00
0.00,26072.00,2.73,12.43,0.03,0.02,634856.00,54.08,754302.00,680788.00,1.36,0.00,9610.00,463548.00
0.00,51844.00,4.40,12.85,0.44,0.03,637624.00,32.04,903508.00,479868.00,-0.54,58004.00,103684.00,444.00
0.00,-307382.00,-17.49,15.44,0.82,-0.03,5500405.00,7.00,12596862.00,7179078.00,0.00,1898420.00,518772.00,89016.00
0.00,-36070.00,7.55,10.02,0.69,-0.13,117412.00,14.40,221540.00,340.00,1.94,39028.00,6802.00,0.00
0.00,286634.00,9.58,13.54,0.43,0.03,4749946.00,21.60,8310044.00,1258976.00,0.00,1318188.00,271410.00,10082.00
0.00,23987.00,2.65,9.30,0.91,0.02,433809.00,6.40,806045.00,6537.00,-1.61,291735.00,7924.00,0.00
0.00,40579.00,3.98,11.19,0.18,0.01,733589.00,8.75,1959862.00,215808.00,0.22,1124858.00,70697.00,241006.00
0.00,44819.00,1.33,10.51,0.74,0.04,-436169.00,5.54,489211.00,0.00,0.16,130716.00,50802.00,0.00
1.00,-12073.00,-11.76,9.73,0.00,-0.07,-576.00,2.70,177701.00,104056.00,0.00,46564.00,6.00,0.00
0.00,67481.00,0.33,11.71,0.20,0.05,-122052.00,22.46,217079.00,47994.00,0.00,20004.00,220011.00,146873.00
0.00,7458.00,5.65,13.32,0.47,0.00,-244142.00,8.70,1631451.00,537176.00,-0.12,831216.00,46965.00,0.00
0.00,-5122.00,4.82,10.03,0.25,-0.01,47369.00,8.90,284306.00,3919.00,0.08,180290.00,17950.00,0.00
0.00,51881.00,0.73,9.58,0.56,0.05,134007.00,6.91,394330.00,45349.00,0.44,181023.00,10153.00,0.00
0.00,42563.00,1.98,9.34,0.56,0.04,-174394.00,11.54,565045.00,141649.00,0.68,226923.00,49910.00,347753.00
0.00,1620.00,0.19,5.68,0.44,0.16,1626.00,13.30,1607.00,0.00,0.00,1018.00,845.00,1500.00
0.00,1209.00,1.71,9.77,0.00,0.00,45376.00,2.34,565828.00,94295.00,0.05,379572.00,2493.00,0.00
0.00,522812.00,2.36,15.58,0.06,0.02,6977374.00,21.28,20543022.00,9070847.00,0.20,5941091.00,636526.00,813428.00
0.00,5776.00,1.63,12.32,0.51,0.01,5182.00,3.00,388092.00,95714.00,-0.90,122507.00,10222.00,44512.00
0.00,5190.00,2.04,10.83,0.45,0.00,223000.00,28.75,653836.00,96948.00,-0.19,82786.00,91326.00,49743.00
1.00,-6122.00,4.06,10.04,0.51,-0.03,20278.00,4.10,152175.00,772.00,0.00,49814.00,19643.00,0.00
0.00,890731.00,0.91,13.47,1.47,0.04,-624227.00,48.64,7729314.00,19030.00,0.64,1626319.00,800791.00,3241650.00
0.00,96549.00,2.11,14.74,0.18,0.02,96364.00,19.79,3069995.00,2310087.00,0.32,202060.00,83482.00,0.00
0.00,264490.00,1.36,13.19,0.46,0.08,-532797.00,12.80,1368317.00,67285.00,-1.30,308921.00,53922.00,246377.00
0.00,951.00,1.82,6.97,1.55,0.01,-40122.00,9.13,50322.00,1744.00,0.69,5781.00,2475.00,0.00
0.00,35264.00,4.87,8.51,0.62,0.05,93682.00,16.66,533213.00,86188.00,0.73,214675.00,197991.00,0.00
0.00,468998.00,1.63,8.69,0.36,0.18,508096.00,48.30,1301514.00,644454.00,0.95,196375.00,80117.00,1083500.00
0.00,7733.00,5.31,9.42,1.19,0.04,105354.00,4.54,134387.00,1615.00,0.87,43396.00,14428.00,0.00
0.00,32190.00,0.95,10.63,0.61,0.04,310229.00,11.59,321463.00,16036.00,1.99,308406.00,31038.00,10000.00
0.00,471281.00,1.04,12.72,0.26,0.05,1365121.00,10.71,4187782.00,918328.00,0.77,4193598.00,593928.00,225000.00
0.00,2265.00,2.82,8.36,0.42,0.01,51311.00,16.98,257539.00,46950.00,0.95,122902.00,33509.00,0.00
1.00,-8830.00,-19.32,10.01,0.49,-0.11,-6863.00,9.20,82177.00,8438.00,0.00,18740.00,2629.00,1000.00
0.00,64775.00,1.89,7.32,0.16,0.02,150353.00,3.98,1531709.00,15643.00,-0.56,815251.00,36881.00,399.00
